timestamp,src_ip,dst_ip,src_port,dst_port,protocol,payload_size,dns_query,http_host,http_uri,flags,is_suspicious
2025-01-22T19:45:02.435742+00:00,10.1.17.215,20.10.31.115,50088.0,443.0,TCP,273,,,,PA,False
2025-01-22T19:45:02.530091+00:00,20.10.31.115,10.1.17.215,443.0,50088.0,TCP,155,,,,PA,False
2025-01-22T19:45:02.571675+00:00,10.1.17.215,20.10.31.115,50088.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:02.764528+00:00,10.1.17.215,10.1.17.255,138.0,138.0,UDP,228,,,,,False
2025-01-22T19:45:02.769975+00:00,10.1.17.215,10.1.17.255,138.0,138.0,UDP,243,,,,,False
2025-01-22T19:45:02.876057+00:00,10.1.17.215,239.255.255.250,50325.0,1900.0,UDP,179,,,,,False
2025-01-22T19:45:02.901201+00:00,10.1.17.215,239.255.255.250,50325.0,1900.0,UDP,179,,,,,False
2025-01-22T19:45:03.541196+00:00,10.1.17.215,239.255.255.250,50325.0,1900.0,UDP,179,,,,,False
2025-01-22T19:45:04.222003+00:00,10.1.17.215,10.1.17.2,52583.0,53.0,UDP,76,dns.msftncsi.com,,,,False
2025-01-22T19:45:04.266389+00:00,10.1.17.2,10.1.17.215,53.0,52583.0,UDP,92,dns.msftncsi.com,,,,False
2025-01-22T19:45:04.271370+00:00,10.1.17.215,10.1.17.255,138.0,138.0,UDP,228,,,,,False
2025-01-22T19:45:05.782864+00:00,10.1.17.215,10.1.17.255,138.0,138.0,UDP,228,,,,,False
2025-01-22T19:45:06.294949+00:00,10.1.17.215,10.1.17.2,123.0,123.0,UDP,162,,,,,False
2025-01-22T19:45:06.296768+00:00,10.1.17.2,10.1.17.215,123.0,123.0,UDP,162,,,,,False
2025-01-22T19:45:06.548155+00:00,10.1.17.215,239.255.255.250,50325.0,1900.0,UDP,179,,,,,False
2025-01-22T19:45:07.291292+00:00,10.1.17.215,10.1.17.255,138.0,138.0,UDP,228,,,,,False
2025-01-22T19:45:08.336583+00:00,10.1.17.215,10.1.17.2,53533.0,53.0,UDP,89,v10.events.data.microsoft.com,,,,True
2025-01-22T19:45:08.385449+00:00,10.1.17.2,10.1.17.215,53.0,53533.0,UDP,230,v10.events.data.microsoft.com,,,,True
2025-01-22T19:45:08.386042+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,66,,,,S,False
2025-01-22T19:45:08.546128+00:00,52.178.17.235,10.1.17.215,443.0,50089.0,TCP,66,,,,SA,False
2025-01-22T19:45:08.546200+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:08.546880+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,266,,,,PA,False
2025-01-22T19:45:08.700793+00:00,52.178.17.235,10.1.17.215,443.0,50089.0,TCP,1430,,,,A,False
2025-01-22T19:45:08.701044+00:00,52.178.17.235,10.1.17.215,443.0,50089.0,TCP,1430,,,,A,False
2025-01-22T19:45:08.701045+00:00,52.178.17.235,10.1.17.215,443.0,50089.0,TCP,1430,,,,A,False
2025-01-22T19:45:08.701045+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:08.701197+00:00,52.178.17.235,10.1.17.215,443.0,50089.0,TCP,161,,,,PA,False
2025-01-22T19:45:08.701197+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:08.703167+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,212,,,,PA,False
2025-01-22T19:45:08.796289+00:00,10.1.17.215,10.1.17.255,138.0,138.0,UDP,240,,,,,False
2025-01-22T19:45:08.854930+00:00,52.178.17.235,10.1.17.215,443.0,50089.0,TCP,105,,,,PA,False
2025-01-22T19:45:08.855095+00:00,52.178.17.235,10.1.17.215,443.0,50089.0,TCP,123,,,,PA,False
2025-01-22T19:45:08.855096+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:08.856811+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,141,,,,PA,False
2025-01-22T19:45:08.856946+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,721,,,,PA,False
2025-01-22T19:45:08.856946+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,92,,,,PA,False
2025-01-22T19:45:08.857174+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,1450,,,,A,False
2025-01-22T19:45:08.857175+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,1450,,,,A,False
2025-01-22T19:45:08.857357+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,975,,,,PA,False
2025-01-22T19:45:09.007995+00:00,52.178.17.235,10.1.17.215,443.0,50089.0,TCP,92,,,,PA,False
2025-01-22T19:45:09.015005+00:00,52.178.17.235,10.1.17.215,443.0,50089.0,TCP,60,,,,A,False
2025-01-22T19:45:09.015197+00:00,52.178.17.235,10.1.17.215,443.0,50089.0,TCP,60,,,,A,False
2025-01-22T19:45:09.019679+00:00,52.178.17.235,10.1.17.215,443.0,50089.0,TCP,60,,,,A,False
2025-01-22T19:45:09.055216+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:09.200237+00:00,52.178.17.235,10.1.17.215,443.0,50089.0,TCP,341,,,,PA,False
2025-01-22T19:45:09.212127+00:00,10.1.17.215,10.1.17.2,53533.0,53.0,UDP,89,v20.events.data.microsoft.com,,,,True
2025-01-22T19:45:09.248524+00:00,10.1.17.215,52.178.17.235,50089.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:09.275450+00:00,10.1.17.2,10.1.17.215,53.0,53533.0,UDP,230,v20.events.data.microsoft.com,,,,True
2025-01-22T19:45:09.276680+00:00,10.1.17.215,52.178.17.235,50090.0,443.0,TCP,66,,,,S,False
2025-01-22T19:45:09.435024+00:00,52.178.17.235,10.1.17.215,443.0,50090.0,TCP,66,,,,SA,False
2025-01-22T19:45:09.435630+00:00,10.1.17.215,52.178.17.235,50090.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:09.436495+00:00,10.1.17.215,52.178.17.235,50090.0,443.0,TCP,266,,,,PA,False
2025-01-22T19:45:09.550509+00:00,10.1.17.215,239.255.255.250,50325.0,1900.0,UDP,179,,,,,False
2025-01-22T19:45:09.588775+00:00,52.178.17.235,10.1.17.215,443.0,50090.0,TCP,1430,,,,A,False
2025-01-22T19:45:09.588776+00:00,52.178.17.235,10.1.17.215,443.0,50090.0,TCP,1430,,,,A,False
2025-01-22T19:45:09.589343+00:00,10.1.17.215,52.178.17.235,50090.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:09.590915+00:00,52.178.17.235,10.1.17.215,443.0,50090.0,TCP,1430,,,,A,False
2025-01-22T19:45:09.590916+00:00,52.178.17.235,10.1.17.215,443.0,50090.0,TCP,161,,,,PA,False
2025-01-22T19:45:09.590971+00:00,10.1.17.215,52.178.17.235,50090.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:09.593201+00:00,10.1.17.215,52.178.17.235,50090.0,443.0,TCP,212,,,,PA,False
2025-01-22T19:45:09.739950+00:00,52.178.17.235,10.1.17.215,443.0,50090.0,TCP,105,,,,PA,False
2025-01-22T19:45:09.739951+00:00,52.178.17.235,10.1.17.215,443.0,50090.0,TCP,123,,,,PA,False
2025-01-22T19:45:09.740458+00:00,10.1.17.215,52.178.17.235,50090.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:09.741309+00:00,10.1.17.215,52.178.17.235,50090.0,443.0,TCP,141,,,,PA,False
2025-01-22T19:45:09.741309+00:00,10.1.17.215,52.178.17.235,50090.0,443.0,TCP,700,,,,PA,False
2025-01-22T19:45:09.741310+00:00,10.1.17.215,52.178.17.235,50090.0,443.0,TCP,92,,,,PA,False
2025-01-22T19:45:09.741645+00:00,10.1.17.215,52.178.17.235,50090.0,443.0,TCP,1450,,,,A,False
2025-01-22T19:45:09.741646+00:00,10.1.17.215,52.178.17.235,50090.0,443.0,TCP,616,,,,PA,False
2025-01-22T19:45:09.802201+00:00,10.1.17.215,10.1.17.255,138.0,138.0,UDP,240,,,,,False
2025-01-22T19:45:09.895126+00:00,52.178.17.235,10.1.17.215,443.0,50090.0,TCP,92,,,,PA,False
2025-01-22T19:45:09.896636+00:00,52.178.17.235,10.1.17.215,443.0,50090.0,TCP,60,,,,A,False
2025-01-22T19:45:09.897652+00:00,52.178.17.235,10.1.17.215,443.0,50090.0,TCP,60,,,,A,False
2025-01-22T19:45:09.938530+00:00,10.1.17.215,52.178.17.235,50090.0,443.0,TCP,60,,,,A,False
